Species Name,In JSON List,Total Photos (Label),Has Taxonomic Keyword,Published to SmugMug,Mismatched/Needs Tagging
Red-winged Blackbird,Yes,229,0,0,229
Ross's Gull,Yes,212,0,0,212
Lewis's Woodpecker,Yes,201,0,0,201
Grasshopper Sparrow,Yes,198,0,0,198
Common Raven,Yes,175,0,0,175
Golden Eagle,Yes,160,0,0,160
Common Goldeneye,Yes,147,0,0,147
Baird's Sandpiper,Yes,142,0,0,142
Greater White-fronted Goose,Yes,138,0,0,138
Long-eared Owl,Yes,137,0,0,137
Red-necked Phalarope,Yes,135,0,0,135
White-faced Ibis,Yes,129,0,0,129
Townsend's Warbler,Yes,117,0,0,117
Field Sparrow,Yes,114,0,0,114
Wood Stork,Yes,112,0,0,112
Great Horned Owl,Yes,110,0,0,110
Eurasian Wigeon,Yes,105,0,0,105
Ferruginous Hawk,Yes,105,0,0,105
Mountain Plover,Yes,102,0,0,102
Swallow Tanager,Yes,102,0,0,102
Surfbird,Yes,94,0,0,94
Laughing Falcon,Yes,84,0,0,84
Cliff Swallow,Yes,81,0,0,81
Sword-billed Hummingbird,Yes,76,0,0,76
Yellow-billed Loon,Yes,75,0,0,75
Sage Thrasher,Yes,74,0,0,74
Swainson's Hawk,Yes,74,0,0,74
Spotted Owl,Yes,69,0,0,69
Little Blue Heron,Yes,68,0,0,68
White-breasted Nuthatch,Yes,68,0,0,68
Gray-crowned Rosy-Finch,Yes,65,0,0,65
Mississippi Kite,Yes,60,0,0,60
Golden-crowned Sparrow,Yes,59,0,0,59
Phainopepla,Yes,59,0,0,59
Harris's Sparrow,Yes,57,0,0,57
Pacific Wren,Yes,57,0,0,57
Indigo Bunting,Yes,56,0,0,56
Western Wood-Pewee,Yes,54,0,0,54
Painted Redstart,Yes,53,0,0,53
House Sparrow,Yes,51,23,0,51
Semipalmated Plover,Yes,51,0,0,51
House Finch,Yes,49,0,0,49
White-bellied Antpitta,Yes,47,0,0,47
Savannah Sparrow,Yes,45,0,0,45
Ruby-crowned Kinglet,Yes,43,0,0,43
Wilson's Phalarope,Yes,43,0,0,43
Lesser Goldfinch,Yes,42,0,0,42
Fox Sparrow,Yes,41,0,0,41
White Hawk,Yes,41,0,0,41
Red-naped Sapsucker,Yes,38,0,0,38
Summer Tanager,Yes,37,0,0,37
Lincoln's Sparrow,Yes,36,0,0,36
Short-tailed Hawk,Yes,35,0,0,35
Gambel's Quail,Yes,34,0,0,34
Galapagos Dove,Yes,32,0,0,32
Bar-tailed Godwit,Yes,31,0,0,31
White-throated Sparrow,Yes,30,0,0,30
Prairie Falcon,Yes,28,0,0,28
Sulphur-bellied Flycatcher,Yes,28,0,0,28
Yellowhammer,Yes,28,0,0,28
Moustached Antpitta,Yes,26,0,0,26
Least Seedsnipe,Yes,25,0,0,25
Philadelphia Vireo,Yes,25,0,0,25
Violet-tailed Sylph,Yes,25,0,0,25
Clark's Nutcracker,Yes,24,0,0,24
Long-billed Thrasher,Yes,24,0,0,24
